Accession ID,Accession name,Tiller number,Tiller angle (°),Plant height (cm),Flag leaf length (cm),Flag leaf width (cm),Flag leaf length / width,Flag leaf angle,Panicle number,Panicle type,Panicle length (cm),Pericarp color,Hull color
CH274,Zaonuo,14.5,16.0,117.5,29.7,1.3,22.9102564102564,1.0,11.6666666666667,3.0,23.1,0.0,0.0
CH275,Shenshuihong,13.0,15.3333333333333,135.25,34.2,1.6,21.3769607843137,3.0,10.1666666666667,3.0,22.275,0.0,0.0
CH276,Mengguandamagu,9.0,13.0,135.0,29.9,1.46,20.4761904761905,1.0,8.83333333333333,3.0,20.275,0.0,1.0
CH277,Yeyaxuxuzhan,9.83333333333333,28.6666666666667,128.25,38.5,1.48,25.997619047619,3.0,7.83333333333333,4.0,24.875,0.0,0.0
CH278,Baimimagu,10.3333333333333,29.0,151.25,33.4,1.34,25.0549450549451,5.0,10.0,3.0,27.25,0.0,1.0
CH279,Gaicaozhan,12.0,29.3333333333333,124.5,30.3,1.48,20.4857142857143,1.0,8.16666666666667,3.0,24.7,0.0,1.0
CH280,Babaomi,10.6666666666667,22.6666666666667,153.0,32.5,1.86,17.4736842105263,7.0,7.0,3.0,25.275,0.0,0.0
CH281,Jianshiguiyangzhan,16.3333333333333,17.1666666666667,82.5,17.2,1.44,11.947619047619,1.0,8.83333333333333,2.0,22.85,0.0,0.0
CH282,KATAHATA HAMBA ,12.0,17.5,111.2,27.0,1.44,18.7142857142857,1.0,8.83333333333333,2.0,22.3375,0.0,0.0
CH283,SINNA SIVAPPU ,10.8333333333333,17.0,88.1666666666667,19.7,1.44,13.6952380952381,1.0,6.83333333333333,2.0,22.525,0.0,0.0
CH285,Chikaopi,12.0,17.5,111.2,27.0,1.44,18.7142857142857,1.0,8.83333333333333,2.0,22.3375,0.0,0.0
CH286,Xinyangheimi,16.5,20.6666666666667,98.0,27.9,1.68,16.6638071895425,1.0,9.33333333333333,2.0,22.3375,0.0,0.0
CH287,Xindao407,11.6666666666667,20.3333333333333,86.75,26.7,1.36,19.607326007326,1.0,7.0,2.0,20.4,0.0,0.0
CH288,Yunanxiang98,14.5,28.6666666666667,97.25,26.0,1.2,21.6666666666667,1.0,5.66666666666667,2.0,22.725,0.0,0.0
CH289,Heiyu1hao,11.8333333333333,13.3333333333333,89.5,23.9,1.74,13.7549019607843,1.0,7.66666666666667,2.0,22.6,1.0,1.0
CH290,Zaobai,7.66666666666667,10.6666666666667,113.0,32.5,1.76,18.4771241830065,1.0,6.16666666666667,3.0,23.025,0.0,0.0
CH291,Guanyinxian,10.3333333333333,13.0,103.0,31.8,1.58,20.1583333333333,1.0,10.3333333333333,2.0,23.7,0.0,0.0
CH292,Anzhaixian,12.6666666666667,15.0,113.25,29.7,1.3,22.9001831501831,1.0,8.33333333333333,3.0,23.9333333333333,0.0,0.0
CH293,Wujiezaodao,12.1666666666667,18.0,124.5,28.1,1.48,19.0029761904762,3.0,8.16666666666667,3.0,22.575,1.0,0.0
CH294,Guangyexian,12.3333333333333,16.3333333333333,105.0,25.0,1.38,18.1252747252747,1.0,10.0,2.0,19.075,0.0,0.0
CH295,Aiganhuang,13.1666666666667,23.0,94.75,25.6,1.3,19.717032967033,1.0,10.0,2.0,21.975,0.0,0.0
CH296,Zinuo,8.33333333333333,12.6666666666667,137.25,25.8,1.62,15.9264705882353,3.0,8.5,2.0,23.5,1.0,1.0
CH297,Menghainuo,7.33333333333333,10.3333333333333,154.75,32.5,1.74,18.6764705882353,3.0,7.33333333333333,2.0,26.375,0.0,1.0
CH298,Haoxiang,12.0,17.5,111.2,27.0,1.44,18.7142857142857,1.0,8.83333333333333,2.0,22.3375,0.0,0.0
CH299,Daozhouzao,10.5,30.3333333333333,122.25,33.1,1.74,19.0359477124183,1.0,8.33333333333333,3.0,24.975,0.0,0.0
CH300,Baijiaoheijie,12.0,17.5,111.2,27.0,1.44,18.7142857142857,1.0,8.83333333333333,2.0,22.3375,0.0,0.0
CH301,Dahuanggu,12.0,17.5,111.2,27.0,1.44,18.7142857142857,1.0,8.83333333333333,2.0,22.3375,0.0,0.0
CH302,Heigu,10.8333333333333,26.0,111.0,27.1,1.46,18.6,3.0,7.16666666666667,1.0,17.475,0.0,0.0
CH303,Xianshuizhan,12.0,31.8333333333333,128.5,27.1,1.44,18.8380952380952,3.0,9.66666666666667,1.0,19.9,0.0,0.0
