№ каталога ВИР,Дата посева,Посев-начало всходов (дней),Начало всходов-начало цветения (дней),Начало всходов-конец цветения (дней),Начало цветения-конец цветения (дней),Начало цветения- начало созревания (дней),Начало всходов- начало созревания (дней),Начало всходов- полное созревание (дней),Начало созревания-полное созревание (дней),Цветок - окраска,Стебель окраска,Форма куста,Размер листочка,Цветоножка (окраска),Аскохитоз (поражение) 2017,Стебель- ветвистость (балл),Стебель  длина ветвей 1-го порядка,Стебель - характер ветвления (ветви 1-го порядка),Стебель - характер ветвления (ветви 2-го порядка),Осыпаемость бобов,Растрескиваемость бобов,Ptht 1,Ptht 2,Ptht 3,Ptht 4,Ptht 5,Hlp 1,Hlp 2,Hlp 3,Hlp 4,Hlp 5,Byld 1,Byld 2,Byld 3,Byld 4,Byld 5,WpWp 1,WpWp 2,WpWp 3,WpWp 4,WpWp 5,PPP 1,PPP 2,PPP 3,PPP 4,PPP 5,SPP 1,SPP 2,SPP 3,SPP 4,SPP 5,SYDS 1,SYDS 2,SYDS 3,SYDS 4,SYDS 5,PodSH,PDL 1,PDL 2,PDL 3,PDL 4,PDL 5,PDW 1,PDW 2,PDW 3,PDW 4,PDW 5,SSH,SCO,TSW,SNP ID
545,2017-05-02,7,32,60,28,38,70,76,6,1,3,3,3,3,1,9,5,5,5,2,2,53.0,55.0,50.0,50.0,55.0,23.0,21.0,30.0,28.0,27.0,59.6,33.1,35.6,20.7,48.3,20.4,10.7,8.8,4.2,16.4,135.0,80.0,99.0,43.0,107.0,179.0,94.0,112.0,58.0,131.0,27.5,15.5,17.1,9.1,18.7,7,24.0,23.0,23.0,24.0,23.0,11.0,9.0,85.0,10.0,10.0,7,1,195.0,VIR0545
584,2017-05-02,7,33,59,26,38,71,84,13,1,3,3,5,3,3,9,5,7,5,2,2,55.0,60.0,56.0,55.0,56.0,27.0,31.0,30.0,28.0,22.0,102.3,47.3,84.5,93.2,90.3,47.5,19.0,35.4,36.4,27.2,101.0,53.0,117.0,89.0,113.0,117.0,71.0,127.0,97.0,123.0,31.8,17.9,37.8,29.1,40.0,7,25.0,27.0,26.0,27.0,25.0,13.0,13.0,13.0,13.0,13.0,3,1,370.0,VIR0584
586,2017-05-02,7,33,48,15,38,71,77,6,1,3,3,5,3,3,9,5,7,5,1,2,50.0,50.0,57.0,60.0,50.0,22.0,30.0,26.0,27.0,27.0,64.5,30.7,54.3,64.3,25.2,22.4,8.3,10.9,15.7,12.8,92.0,54.0,89.0,107.0,55.0,126.0,87.0,133.0,157.0,79.0,26.5,17.7,27.8,31.8,12.8,7,25.0,25.0,25.0,23.0,25.0,11.0,11.0,10.0,10.0,11.0,5,1,245.0,VIR0586
587,2017-05-02,7,30,47,17,40,70,76,6,3,7,5,3,7,3,7,5,5,5,2,2,50.0,55.0,55.0,60.0,56.0,20.0,20.0,22.0,23.0,21.0,55.7,32.9,36.7,41.9,70.2,12.5,11.5,10.4,9.5,28.9,171.0,149.0,82.0,113.0,156.0,183.0,189.0,103.0,145.0,178.0,27.6,28.6,16.5,22.6,28.0,7,22.0,25.0,22.0,23.0,21.0,10.0,11.0,11.0,11.0,11.0,3,11,160.0,VIR0587
588,2017-05-02,7,39,56,17,31,70,76,6,3,3,3,3,3,3,7,5,5,5,2,1,56.0,56.0,57.0,50.0,65.0,22.0,27.0,27.0,23.0,32.0,21.8,35.9,30.8,16.2,63.1,8.3,10.6,12.4,4.7,17.8,45.0,83.0,68.0,30.0,123.0,47.0,86.0,70.0,30.0,139.0,9.9,16.4,15.2,6.3,28.4,7,23.0,25.0,24.0,23.0,25.0,12.0,13.0,12.0,13.0,12.0,3,11,230.0,VIR0588
589,2017-05-02,7,31,77,46,41,72,91,19,1,3,3,7,3,7,7,5,7,7,2,1,55.0,60.0,60.0,52.0,50.0,32.0,32.0,32.0,27.0,27.0,19.6,35.4,57.9,49.6,20.1,5.7,12.9,11.4,23.7,7.8,29.0,50.0,56.0,63.0,22.0,29.0,58.0,65.0,80.0,21.0,8.1,13.9,18.9,21.1,6.9,5,26.0,26.0,26.0,26.0,25.0,13.0,14.0,12.0,14.0,13.0,3,1,315.0,VIR0589
620,2017-05-02,7,39,58,19,33,72,89,17,3,3,3,5,7,5,7,5,7,7,2,1,55.0,52.0,50.0,50.0,50.0,36.0,28.0,27.0,25.0,22.0,45.8,67.3,38.1,15.1,35.1,17.7,25.3,18.7,8.6,8.9,43.0,68.0,38.0,9.0,53.0,51.0,68.0,45.0,17.0,66.0,13.9,22.4,15.3,4.1,20.2,5,25.0,24.0,24.0,24.0,23.0,13.0,12.0,12.0,13.0,13.0,3,10,390.0,VIR0620
623,2017-05-02,7,34,63,29,37,71,89,18,1,3,3,3,3,5,3,7,7,7,1,2,50.0,53.0,42.0,47.0,50.0,20.0,22.0,18.0,18.0,20.0,68.2,117.3,36.9,61.9,94.0,15.4,20.9,13.5,18.9,16.0,167.0,280.0,85.0,241.0,147.0,181.0,352.0,80.0,281.0,201.0,29.1,59.4,13.2,47.6,31.8,7,25.0,22.0,20.0,24.0,20.0,10.0,9.0,10.0,11.0,10.0,5,1,190.0,VIR0623
626,2017-05-02,7,33,59,26,38,71,82,11,3,5,3,3,7,5,3,7,7,7,1,2,40.0,40.0,42.0,50.0,56.0,20.0,22.0,22.0,22.0,18.0,61.7,33.3,53.6,57.8,102.8,15.0,18.4,21.3,13.0,31.4,93.0,32.0,64.0,98.0,147.0,127.0,40.0,89.0,149.0,224.0,27.6,8.7,20.2,33.9,52.5,5,25.0,30.0,25.0,25.0,26.0,12.0,15.0,11.0,12.0,13.0,3,10,255.0,VIR0626
627,2017-05-02,7,31,61,30,40,71,82,11,1,3,5,5,3,5,3,7,7,7,2,2,60.0,63.0,50.0,60.0,60.0,31.0,20.0,20.0,21.0,24.0,40.7,93.4,33.1,31.0,50.8,10.1,33.9,9.4,11.5,21.3,66.0,118.0,55.0,43.0,74.0,70.0,134.0,61.0,45.0,79.0,18.1,33.3,15.9,10.8,20.5,5,25.0,25.0,25.0,25.0,25.0,10.0,11.0,11.0,11.0,11.0,3,1,275.0,VIR0627
